date,type,name,total_seconds
2026-01-26,daily_total,,6136
2026-01-26,language,Nix,2999
2026-01-26,language,Python,1413
2026-01-26,language,Unknown,1245
2026-01-26,language,Bash,262
2026-01-26,language,Json,169
2026-01-26,language,Javascript,48
2026-01-26,editor,Neovim,3197
2026-01-26,editor,Claude,2788
2026-01-26,editor,Claude-code,151
2026-01-26,project,landsraad,3839
2026-01-26,project,blog,1461
2026-01-26,project,f0ld,568
2026-01-26,project,wofi,138
2026-01-26,project,unknown,124
2026-01-26,project,splits,6
2026-01-26,category,coding,3193
2026-01-26,category,ai coding,2940
2026-01-26,category,unknown,4
2026-01-27,daily_total,,7895
2026-01-27,language,Nix,5135
2026-01-27,language,Bash,1888
2026-01-27,language,Unknown,546
2026-01-27,language,Javascript,213
2026-01-27,language,Netrw,113
2026-01-27,editor,Neovim,6683
2026-01-27,editor,Claude,1212
2026-01-27,project,landsraad,5508
2026-01-27,project,wofi,1888
2026-01-27,project,blog,213
2026-01-27,project,trinity,173
2026-01-27,project,wiki,113
2026-01-27,category,coding,6683
2026-01-27,category,ai coding,1212
2026-01-28,daily_total,,3638
2026-01-28,language,Nix,2958
2026-01-28,language,Unknown,679
2026-01-28,editor,Neovim,2665
2026-01-28,editor,Claude,972
2026-01-28,project,landsraad,3638
2026-01-28,category,coding,2665
2026-01-28,category,ai coding,972
2026-01-29,daily_total,,351
2026-01-29,language,Nix,315
2026-01-29,language,Conf,36
2026-01-29,editor,Neovim,351
2026-01-29,project,landsraad,315
2026-01-29,project,f0ld,36
2026-01-29,category,coding,351
2026-01-30,daily_total,,756
2026-01-30,language,Bash,253
2026-01-30,language,Taskrc,235
2026-01-30,language,Nix,234
2026-01-30,language,Unknown,33
2026-01-30,editor,Neovim,562
2026-01-30,editor,Claude,194
2026-01-30,project,wofi,280
2026-01-30,project,f0ld,242
2026-01-30,project,landsraad,234
2026-01-30,category,coding,562
2026-01-30,category,ai coding,194
2026-01-31,daily_total,,34
2026-01-31,language,Json,34
2026-01-31,editor,Neovim,34
2026-01-31,project,splits,34
2026-01-31,category,coding,34
2026-02-01,daily_total,,413
2026-02-01,language,Nix,379
2026-02-01,language,Javascript,34
2026-02-01,editor,Claude,379
2026-02-01,editor,Neovim,34
2026-02-01,project,landsraad,379
2026-02-01,project,blog,34
2026-02-01,category,ai coding,379
2026-02-01,category,coding,34
2026-02-02,daily_total,,76
2026-02-02,language,Taskrc,38
2026-02-02,language,Nix,38
2026-02-02,editor,Neovim,76
2026-02-02,project,f0ld,38
2026-02-02,project,landsraad,38
2026-02-02,category,coding,76
2026-02-03,daily_total,,2848
2026-02-03,language,Bash,1795
2026-02-03,language,Nix,1053
2026-02-03,editor,Neovim,2848
2026-02-03,project,f0ld,1443
2026-02-03,project,landsraad,1053
2026-02-03,project,wofi,352
2026-02-03,category,coding,2848
2026-02-04,daily_total,,4150
2026-02-04,language,Org,1519
2026-02-04,language,Nix,887
2026-02-04,language,Unknown,878
2026-02-04,language,Bash,294
2026-02-04,language,Python,293
2026-02-04,language,Ini,279
2026-02-04,editor,Neovim,2546
2026-02-04,editor,Claude,1604
2026-02-04,project,wiki,1513
2026-02-04,project,trinity,1259
2026-02-04,project,f0ld,572
2026-02-04,project,landsraad,524
2026-02-04,project,wofi,276
2026-02-04,project,unknown,6
2026-02-04,category,coding,2546
2026-02-04,category,ai coding,1604
2026-02-05,daily_total,,6108
2026-02-05,language,Unknown,2324
2026-02-05,language,Nix,2214
2026-02-05,language,Bash,1493
2026-02-05,language,Json,76
2026-02-05,editor,Claude,2689
2026-02-05,editor,Opencode,2025
2026-02-05,editor,Neovim,1394
